"","Gene","Quiescence_avg_log2FC","Quiescence_Up_percent","Quiescence_Down_percent","Quiescence_wilcox","Quiescence_wilcox.adj","Type","Rank"
"GPS1","GPS1",-0.100084386114426,0.25,0.75,0.017181396484375,0.16646339989811,"None",930
"DLAT","DLAT",-0.100227185373508,0.15,0.85,0.026641845703125,0.201830796063957,"None",929
"MRPS9","MRPS9",-0.100324518207105,0.2,0.8,0.0531692504882812,0.282915269760858,"None",928
"PSMC3","PSMC3",-0.100332523843409,0.3,0.7,0.245487213134766,0.56020048347925,"None",927
"SNRNP200","SNRNP200",-0.10035728368843,0.35,0.65,0.202449798583984,0.517371707492404,"None",926
"CSRP1","CSRP1",-0.100407546308132,0.2,0.8,0.164957046508789,0.473139271078972,"None",925
"ERN2","ERN2",-0.10056154206673,0.4,0.6,0.701181411743164,0.874292500470903,"None",924
"PSMA1","PSMA1",-0.100611481826195,0.4,0.6,0.756166458129883,0.902486518652746,"None",923
"SUN2","SUN2",-0.101132455570597,0.2,0.8,0.058258056640625,0.293787996048943,"None",922
"EFCAB11","EFCAB11",-0.101150076388992,0.1,0.9,8.20159912109375e-05,0.018639871629618,"Down",921
"HYLS1","HYLS1",-0.101189280128295,0.1,0.9,3.62396240234375e-05,0.0179976710566768,"Down",920
"NDUFA2","NDUFA2",-0.10121205122398,0.2,0.8,0.329982757568359,0.636927997154762,"None",919
"WWP1","WWP1",-0.101218025358329,0.2,0.8,0.216167449951172,0.532339639374704,"None",918
"DDX10","DDX10",-0.101284787763048,0.25,0.75,0.0239505767822266,0.191733303924105,"None",917
"ABCE1","ABCE1",-0.101293832349563,0.25,0.75,0.153646469116211,0.459568481904812,"None",916
"M6PR","M6PR",-0.101321323251129,0.2,0.8,0.261098861694336,0.577830440082415,"None",915
"HIST1H1E","HIST1H1E",-0.101449534650349,0.2,0.8,0.230512619018555,0.544563725937245,"None",914
"SFXN1","SFXN1",-0.10145597101313,0.2,0.8,0.176853179931641,0.489458057730314,"None",913
"PDS5A","PDS5A",-0.101541066682729,0.25,0.75,0.277355194091797,0.590607558770352,"None",912
"MED4","MED4",-0.101553487790647,0.25,0.75,0.277355194091797,0.590607558770352,"None",911
"YWHAB","YWHAB",-0.101588280921828,0.25,0.75,0.985435485839844,0.998617323883499,"None",910
"PSMC5","PSMC5",-0.101693142229714,0.25,0.75,0.474905014038086,0.743838492376673,"None",909
"HIST1H1D","HIST1H1D",-0.101794810166043,0.35,0.65,0.43043327331543,0.713345663315609,"None",908
"CS","CS",-0.10179698078916,0.25,0.75,0.082550048828125,0.344618183292755,"None",907
"COA4","COA4",-0.101832811309682,0.2,0.8,0.189348220825195,0.502368479035426,"None",906
"TRAP1","TRAP1",-0.10187117500174,0.25,0.75,0.189348220825195,0.502368479035426,"None",905
"BMS1","BMS1",-0.101876299677648,0.1,0.9,0.069580078125,0.320508164746865,"None",904
"TELO2","TELO2",-0.102118573156347,0.1,0.9,0.00315284729003906,0.0790215501161379,"None",903
"RARRES3","RARRES3",-0.102150142063436,0.4,0.55,0.219677340783047,0.540586063967678,"None",902
